dataset,ASR,mean_success_distance,mean_failure_distance,overall_mean_distance,Count_Success,Count_Fail,duration
ACSF1,0.85,1.1719542,3.4194636,1.5090805,85,15,5.520581245422363
Adiac,0.9641943734015346,,,,377,14,13.066511392593384
AllGestureWiimoteX,0.9985714285714286,0.09836055,0.40950128,0.09880504,699,1,21.23243093490601
AllGestureWiimoteY,0.9971428571428572,0.06289937,0.070004225,0.06291967,698,2,20.964360237121586
AllGestureWiimoteZ,0.9914285714285714,0.07417878,0.4892529,0.07773656,694,6,20.344804286956787
ArrowHead,0.9885714285714284,0.12302291,0.4271707,0.12649888,173,2,6.175691604614258
BME,0.96,0.192955,0.5373341,0.20673017,144,6,6.06994891166687
Beef,1.0,0.14316446,,0.14316446,30,0,2.939878463745117
BeetleFly,1.0,0.6309403,,0.6309403,20,0,2.8482182025909424
BirdChicken,1.0,0.50764376,,0.50764376,20,0,2.7768590450286865
